Code,D_P,processed_Description,processed_Literal
O746,D,otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,puncion dural posparto
O746,D,otras complicaciones de anestesia espinal y epidural durante el trabajo de parto y parto,hipotiroidismo part
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre intraparto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",febricula intraparto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre materna
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre parto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",febril parto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre intraparto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",fiebre parto
O752,D,"pirexia durante el trabajo de parto, no clasificada bajo otro concepto",febricula intraparto
O7581,D,agotamiento materno que complica el trabajo de parto y parto,agotamiento materno
O7589,D,otras complicaciones especificadas del trabajo de parto y parto,atonia uterina posparto
O7589,D,otras complicaciones especificadas del trabajo de parto y parto,atonia uterina posparto
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,o76
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,bradicardia de expulsivo
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,nst
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,deceleraciones
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,rctg pocotranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,taquicardia fetal
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,registro poco tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,taquicardia fetal
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,nst no tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,bradicardia fetal
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,rctg : no tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,tns no tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,rctg notranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,registro cardiotocografico no tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,rctg poco tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,nst) sospechoso
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,bradicardia fetal
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,rctg no tranquilizador
O76,D,anormalidad de la frecuencia o ritmo cardiaco fetal que complica el trabajo de parto y el parto,nst patologico
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,aguas meconiales
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,", color: tenido"
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: sanguinolento
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido amniotico tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color : sanguinolento
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: sangui
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido meconial
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,"??? , color: tenido"
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido +
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,liquido meconial
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido +++
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,color: tenido ++
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,la tenido
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,meconio
O770,D,trabajo de parto y parto complicados por meconio en el liquido amniotico,aguas tenidas
O80,D,admision para el parto a termino no complicado,parto
O80,D,admision para el parto a termino no complicado,parto
O80,D,admision para el parto a termino no complicado,part
O80,D,admision para el parto a termino no complicado,parto
O80,D,admision para el parto a termino no complicado,part
O82,D,admision por parto por cesarea sin indicacion,cesarea
O82,D,admision por parto por cesarea sin indicacion,cesarea
O85,D,sepsis puerperal,septicemia puerperal
O8600,D,"infeccion de herida quirurgica obstetrica, sin especificar",infeccion de herida quirurgica de cesarea
O8612,D,endometritis despues del parto,endometritis puerperal
O8629,D,otras infecciones del tracto urinario despues del parto,infeccion tracto urinario en puerperio
O8629,D,otras infecciones del tracto urinario despues del parto,puerperio - infeccion tracto urinario
O8629,D,otras infecciones del tracto urinario despues del parto,infeccion tracto urinario puerperal
O864,D,pirexia de origen desconocido despues del parto,fiebre posparto
O864,D,pirexia de origen desconocido despues del parto,fiebre en puerperio
O864,D,pirexia de origen desconocido despues del parto,fiebre postparto
O864,D,pirexia de origen desconocido despues del parto,fiebre puerperal
O864,D,pirexia de origen desconocido despues del parto,febril postparto
O864,D,pirexia de origen desconocido despues del parto,fiebre puerperal
O8689,D,otras infecciones puerperales especificadas,bacteriemia posparto
O872,D,hemorroides en el puerperio,hemorroides puerperal
O872,D,hemorroides en el puerperio,hemorroides pp
O872,D,hemorroides en el puerperio,hemorroides puerperio
O872,D,hemorroides en el puerperio,hemorroides pp
O872,D,hemorroides en el puerperio,hemorroide pp
O901,D,disrupcion de herida perineal obstetrica,dehiscencia de episiorrafia
O901,D,disrupcion de herida perineal obstetrica,dehiscencia episiotomia
O902,D,hematoma de herida obstetrica,hematoma episiotomia
O902,D,hematoma de herida obstetrica,seroma en cicatriz de cesarea
O902,D,hematoma de herida obstetrica,seroma cesarea
O9081,D,anemia puerperal,anemia pueperio
O9081,D,anemia puerperal,anemia pp
O9081,D,anemia puerperal,anemia puerperal
O9081,D,anemia puerperal,anemia pp
O9081,D,anemia puerperal,anemai pp
O9081,D,anemia puerperal,anemia puerperio
O9081,D,anemia puerperal,anemia postparto
O9081,D,anemia puerperal,anemia postparto
O9081,D,anemia puerperal,anemia posparto
O9089,D,otras complicaciones del puerperio no clasificadas bajo otro concepto,retencion aguda orina posparto
O9089,D,otras complicaciones del puerperio no clasificadas bajo otro concepto,enf puerperal
O9089,D,otras complicaciones del puerperio no clasificadas bajo otro concepto,retencion aguda orina postparto
O9089,D,otras complicaciones del puerperio no clasificadas bajo otro concepto,retencion aguda orina posparto
O9122,D,mastitis no purulenta asociada con el puerperio,mastitis pueperal
O9122,D,mastitis no purulenta asociada con el puerperio,mastitis aguda puerperal
O9122,D,mastitis no purulenta asociada con el puerperio,mastitis puerperal
O925,D,lactancia suprimida,lactancia artificial
O925,D,lactancia suprimida,inhibicion de lactanica
O925,D,lactancia suprimida,lactancia artificial
O925,D,lactancia suprimida,inhibicion de lactancia
O925,D,lactancia suprimida,inhibicion de la lactancia
O925,D,lactancia suprimida,inhibicion lactancia
O925,D,lactancia suprimida,cabergolina
O925,D,lactancia suprimida,inhibicion de la lactancia
O925,D,lactancia suprimida,interrupcion de lactancia
O925,D,lactancia suprimida,no desea lactancia materna
O925,D,lactancia suprimida,no desea lactancia
O925,D,lactancia suprimida,lactancia artificial
O925,D,lactancia suprimida,lactancia artificial
O925,D,lactancia suprimida,inhibicion de lactancia
O925,D,lactancia suprimida,inhibir lactancia
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,hpv parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,herpes zoster parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,herpes genital parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,herpes genital parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,herpes genital part
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,hipotiroidismo parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,herpes genital parto
O9832,D,otras infecciones con un modo de transmision predominantemente sexual que complican el parto,condilomas parto
O98413,D,"hepatitis viral que complica el embarazo, tercer trimestre",hepatitis b parto
O9842,D,hepatitis viral que complica el parto,virus hepatitis B part
O9842,D,hepatitis viral que complica el parto,hepatitis b parto
O9842,D,hepatitis viral que complica el parto,virus hepatitis B parto
O9842,D,hepatitis viral que complica el parto,virus hepatitis C parto
O9842,D,hepatitis viral que complica el parto,hepatitis c parto
O9842,D,hepatitis viral que complica el parto,hepatitis b part
O9842,D,hepatitis viral que complica el parto,hepatitis b part
O9842,D,hepatitis viral que complica el parto,virus hepatitis C parto
O9842,D,hepatitis viral que complica el parto,virus hepatitis B parto
O9852,D,otras enfermedades virales que complican el parto,fumadora part
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,covid part
O9852,D,otras enfermedades virales que complican el parto,virus hepatitis B parto
O9852,D,otras enfermedades virales que complican el parto,obesidad part
O9852,D,otras enfermedades virales que complican el parto,rubeola negativo
O9852,D,otras enfermedades virales que complican el parto,rubeola: no inmune
O9852,D,otras enfermedades virales que complican el parto,covid parto
O9852,D,otras enfermedades virales que complican el parto,virus hepatitis B parto
O9852,D,otras enfermedades virales que complican el parto,covid parto
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,covid parto
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,escoliosis parto
O9852,D,otras enfermedades virales que complican el parto,neumonia covid parto
O9852,D,otras enfermedades virales que complican el parto,rubeola negativa
O9852,D,otras enfermedades virales que complican el parto,covid part
O9852,D,otras enfermedades virales que complican el parto,rubeola negativo
O9852,D,otras enfermedades virales que complican el parto,vph part
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,cmv parto
O9852,D,otras enfermedades virales que complican el parto,vph part
O9852,D,otras enfermedades virales que complican el parto,rubeola no inmune
O9852,D,otras enfermedades virales que complican el parto,rubeola: no inmune
O9852,D,otras enfermedades virales que complican el parto,covid19 parto
O9852,D,otras enfermedades virales que complican el parto,hpv parto
